职位,公司,地址,薪酬,标签
Java开发工程师,深圳华思软件有限公司,深圳-南山区,1-1.8万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '年终奖金']"
急聘-java工程师,深圳市德科信息技术有限公司,南京-雨花台区,1.5-2万/月,"['3-4年经验', '本科', '招15人', '07-16发布', '五险一金', '补充医疗保险', '年终奖金', '绩效奖金', '员工旅游']"
java开发学徒/Java编程内部实习,河南生联计算机软件有限公司,郑州,6-8千/月,"['无工作经验', '中专', '招15人', '07-16发布', '五险一金', '交通补贴', '通讯补贴', '专业培训', '年终奖金', '绩效奖金']"
Java脚本开发+五险一金,青岛东邻虎网络科技有限公司,青岛-市北区,3.5-5千/月,"['无工作经验', '中专', '招4人', '07-16发布', '五险一金', '补充医疗保险', '补充公积金', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
Java后端开发工程师,北京怡孚和融科技有限公司,北京-海淀区,2.5-3.5万/月,"['2年经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '专业培训', '绩效奖金', '年终奖金']"
Java开发工程师（工作地点花桥）,上海小鬼网络科技有限公司,上海,1.5-2万/月,"['1年经验', '大专', '招2人', '07-16发布', '五险一金', '定期体检', '员工旅游', '弹性工作', '出国机会', '绩效奖金', '年终奖金', '股票期权']"
J2EE开发工程师/JAVA开发工程师,成都大峰软件有限公司,成都-高新区,0.8-1.1万/月,"['3-4年经验', '大专', '招9人', '07-16发布']"
Java高级开发工程师,电讯盈科深圳,深圳-南山区,1.3-1.8万/月,"['5-7年经验', '大专', '招若干人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检', '专业培训']"
Java中级开发工程师,北京兰光创新科技有限公司,杭州,1-1.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '餐饮补贴', '绩效奖金', '年终奖金', '股票期权']"
JAVA开发中高级工程师,深圳特为科创信息技术有限公司,深圳-宝安区,1-1.5万/月,"['3-4年经验', '大专', '招7人', '07-16发布', '五险一金', '周末双休', '13薪', '节日福利', '员工聚餐', '员工旅游', '人才推荐奖']"
Java软件开发,海丰国际控股有限公司,上海-虹口区,6-8千/月,"['无工作经验', '招3人', '07-16发布', '周末双休', '带薪年假', '五险一金', '绩效奖金', '全勤奖', '节日福利', '通讯补贴', '年终奖金', '定期体检']"
Java高级开发工程师,郑州万书信息技术有限公司,北京,1.1-1.3万/月,"['5-7年经验', '大专', '招2人', '07-16发布', '绩效奖金', '年终奖金', '朝九晚五', '周末双休', '包住', '专业培训', '员工旅游']"
Java开发工程师,浙江艾希汇先网络科技有限公司,杭州-西湖区,0.7-1.2万/月,"['1年经验', '本科', '招1人', '07-16发布']"
Java开发工程师,天津同创云科技术股份有限公司,天津-西青区,4-8千/月,"['1年经验', '本科', '招5人', '07-16发布', '五险一金', '专业培训', '绩效奖金', '员工宿舍']"
JAVA开发工程师（外包）,广州安正软件股份有限公司,深圳-福田区,1-1.8万/月,"['3-4年经验', '大专', '招7人', '07-16发布', '五险一金', '周末双休', '节日福利', '带薪年假']"
资深java后台工程师/技术专家(J180712017),滴滴出行,北京-海淀区,3-4万/月,"['5-7年经验', '本科', '招3人', '07-16发布']"
Java高级开发工程师,上海饰的网络科技有限公司,上海-普陀区,2.5-3万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '补充医疗保险', '补充公积金', '员工旅游', '股票期权', '年终奖金']"
Java开发工程师,湖南省中小企业公共服务平台有限公司,长沙-天心区,0.8-1万/月,"['无工作经验', '本科', '招1人', '07-16发布', '七险一金', '餐饮补贴', '年终奖金', '项目奖金', '节日福利', '定期体检', '出差补助']"
Java初级开发工程师(武汉）,福建亿策金点在线教育科技有限公司,武汉-东湖新技...,0.5-1万/月,"['2年经验', '大专', '招10人', '07-16发布', '五险一金', '员工旅游', '专业培训', '定期体检']"
软件工程师JAVA,上海悠翔信息技术有限公司,上海-浦东新区,0.6-1.5万/月,"['3-4年经验', '大专', '招3人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '弹性工作', '专业培训', '绩效奖金']"
Java高级开发工程师,杉付通数据科技有限公司,上海-杨浦区,1.7-2.5万/月,"['3-4年经验', '大专', '招2人', '07-16发布', '做五休二', '周末双休', '带薪年假', '绩效奖金', '节日福利', '五险一金', '专业培训', '年终奖金']"
Java工程师,迷你考拉仓(北京)仓储服务有限公司,北京-朝阳区,1-1.5万/月,"['3-4年经验', '大专', '招1人', '07-16发布', '绩效奖金', '带薪年假', '节日福利', '专业培训', '交通补贴', '通讯补贴', '年终奖金']"
java开发工程师,北京鼎新弘图科技有限公司,北京-海淀区,0.9-1.2万/月,"['无工作经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '年终奖金', '绩效奖金', '弹性工作']"
高级Java工程师,广州市大象体育产业有限公司,广州-天河区,1-1.8万/月,"['3-4年经验', '大专', '招4人', '07-16发布', '五险一金', '员工旅游', '年终奖金', '定期体检', '弹性工作']"
JAVA工程师,成都麦柯系统集成有限公司,成都-高新区,4-8千/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '通讯补贴', '定期体检', '绩效奖金', '年终奖金']"
初级Java程序员,深圳市顺时网络科技有限公司,深圳-宝安区,4.5-6千/月,"['1年经验', '大专', '招5人', '07-16发布', '五险一金', '绩效奖金', '年终奖金', '专业培训']"
高级JAVA开发工程师,方正国际软件（北京）有限公司,成都,1.5-2万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '五险一金', '补充医疗保险', '交通补贴', '餐饮补贴', '通讯补贴', '绩效奖金', '年终奖金', '定期体检']"
Java高级开发工程师,宁波中正天路科技有限公司,宁波-鄞州区,0.7-2万/月,"['无工作经验', '招4人', '07-16发布', '五险一金', '员工旅游', '年终奖金', '绩效奖金', '出国机会']"
Java开发工程师,杭州诚泰科技有限公司,杭州-拱墅区,1.2-1.8万/月,"['无工作经验', '招2人', '07-16发布', '五险一金', '员工旅游', '定期体检', '带薪年假', '生日福利', '法定节假日', '年终资金', '高温补贴']"
软件工程师 (java/.net),湖南金润轩科技有限责任公司,异地招聘,4.5-6千/月,"['无工作经验', '大专', '招5人', '07-16发布', '五险一金', '定期体检', '周末双休', '带薪年假', '年底双薪', '交通补贴', '通讯补贴', '出差补贴']"
java软件工程师,北京京华华电数码科技有限公司,北京-石景山区,6-8千/月,"['3-4年经验', '大专', '招3人', '07-16发布']"
Java开发工程师,深圳来电科技有限公司,广州-番禺区,1.2-1.7万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '五险一金', '专业培训', '绩效奖金', '年终奖金', '股票期权', '弹性工作']"
Java开发工程师,湖北腾旅科技有限责任公司,武汉-洪山区,1-1.6万/月,"['无工作经验', '大专', '招5人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金', '定期体检', '绩效奖金']"
JAVA开发工程师,上海睿问信息科技有限公司,上海-黄浦区,1-2万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '员工旅游', '年终奖金', '弹性工作']"
高薪聘请java软件工程师,南昌协达科技发展有限公司,南昌-西湖区,3-9千/月,"['2年经验', '大专', '招3人', '07-16发布']"
Java开发工程师,广州逗号科技有限公司,上海-黄浦区,1-2万/月,"['无工作经验', '大专', '招1人', '07-16发布', '五险一金', '餐饮补贴', '员工旅游', '补充医疗保险', '周末双休', '带薪年假', '节日福利', '团队活动', '专业培训', '其他补贴等']"
JAVA软件工程师,西安凯虹电子科技有限公司,西安,0.8-1万/月,"['3-4年经验', '本科', '招若干人', '07-16发布', '五险一金', '补充医疗保险', '员工旅游', '通讯补贴', '绩效奖金', '年终奖金', '餐饮补贴', '专业培训']"
java开发工程师,广州佩格信息科技有限公司,南宁,0.5-1.5万/月,"['1年经验', '大专', '招若干人', '07-16发布', '专业培训', '年终奖金', '弹性工作', '周末双休', '法定节假日', '节日福利', '岗位晋升', '专项补贴', '员工活动', '工作氛围好']"
Java高级工程师（前端）,广州星唯信息科技有限公司,广州,1-1.5万/月,"['2年经验', '本科', '招10人', '07-16发布']"
Java开发工程师,四川新迎顺信息技术股份有限公司,成都-高新区,0.6-1万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '出国机会', '年终奖金', '定期体检', '五险']"
Java开发工程师,印孚瑟斯技术（中国）有限公司,深圳-龙岗区,1-2万/月,"['5-7年经验', '大专', '招若干人', '07-16发布', '五险一金', '补充医疗保险', '餐饮补贴', '绩效奖金', '年终奖金', '弹性工作', '定期体检']"
Java资深开发工程师,浙江朗旭医药有限公司,杭州-余杭区,1.5-2万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '定期体检', '餐饮补贴', '绩效奖金', '年终奖金', '员工旅游', '周末双休']"
资深Java架构师（互联网交易平台）,众化（杭州）科技有限公司,杭州-西湖区,1.6-2.8万/月,"['5-7年经验', '本科', '招1人', '07-16发布', '餐饮补贴', '弹性工作', '绩效奖金', '专业培训', '出国机会', '员工旅游']"
Java开发工程师,北京联龙博通电子商务技术有限公司,西安-灞桥区,1-1.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '专业培训', '交通补贴', '通讯补贴', '弹性工作']"
java高级研发工程师,广州青悠网络科技有限公司,广州-天河区,1.5-2万/月,"['3-4年经验', '本科', '招1人', '07-16发布', '员工旅游', '餐饮补贴', '绩效奖金', '年终奖金', '五险一金']"
初级java开发工程师,深圳宏景动力信息技术有限公司,异地招聘,4-7千/月,"['1年经验', '本科', '招若干人', '07-16发布', '周末双休', '带薪年假', '五险一金', '专业培训', '绩效奖金', '餐饮补贴', '员工旅游']"
中级java开发工程师,上海绿岸网络科技股份有限公司,上海,0.8-1.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布']"
Java软件开发工程师,广东拓迪智能科技有限公司,广州-黄埔区,0.7-1.5万/月,"['2年经验', '本科', '招1人', '07-16发布', '五险一金', '员工旅游', '专业培训', '绩效奖金', '定期体检', '周末双休', '节日福利', '全勤奖', '年底双薪']"
Java开发工程师,天津森雅医疗设备科技有限公司,天津,4.5-6千/月,"['无工作经验', '大专', '招2人', '07-16发布', '五险一金', '专业培训', '交通补贴', '餐饮补贴', '年终奖金']"
赴日Java,北京起鹏科技发展有限公司,异地招聘,1.5-2万/月,"['无工作经验', '招若干人', '07-16发布', '五险一金', '通讯补贴', '出国机会', '年终奖金', '绩效奖金', '交通补贴']"
Java软件工程师,上海盖讯信息技术有限公司,上海,0.4-1万/月,"['无工作经验', '招若干人', '07-16发布', '五险一金', '绩效奖金', '年终奖金', '餐饮补贴', '专业培训']"
JAVA技术培训讲师,合肥科大讯飞教育发展有限公司,异地招聘,0.8-1.5万/月,"['3-4年经验', '本科', '招1人', '07-16发布']"
JAVA程序员,上海亮威照明科技股份有限公司,南京-秦淮区,6-8千/月,"['2年经验', '本科', '招若干人', '07-16发布', '五险一金']"
Java中级开发工程师,广州超竞投资有限公司,深圳-南山区,1.5-2万/月,"['3-4年经验', '本科', '招2人', '07-16发布']"
Java开发经理,浙江鸿拓生物技术股份有限公司,杭州,4.5-6千/月,"['无工作经验', '招若干人', '07-16发布', '五险一金', '绩效奖金']"
Java高级开发工程师,北京中电万联科技股份有限公司,北京-石景山区,1-1.5万/月,"['3-4年经验', '本科', '招若干人', '07-16发布']"
JAVA工程师,北京中广通业信息科技股份有限公司,北京-西城区,0.6-1.2万/月,"['无工作经验', '招1人', '07-16发布', '五险一金', '节日福利', '通讯补贴', '年终奖金', '补充医疗保险']"
Java中级开发工程师,安徽芯联智能科技有限公司,合肥-高新区,7.5-9千/月,"['无工作经验', '招4人', '07-16发布', '免费班车', '弹性工作', '交通补贴', '年终奖金', '专业培训', '周末双休']"
Java中级开发工程师,苏州神州数码捷通科技有限公司,苏州,1-1.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '餐饮补贴', '专业培训', '年终奖金', '弹性工作', '定期体检', '节日福利']"
Java高级开发工程师,高新兴科技集团股份有限公司,广州-黄埔区,0.9-1.8万/月,"['无工作经验', '本科', '招10人', '07-16发布', '全员持股', '年终奖丰厚', '免费班车', '包三餐', '五险一金', '定期体检', '提供住宿']"
java软件开发工程师（10k-15k+五险一金+双休）,武汉合聚力信息技术有限公司,武汉-武昌区,1-1.5万/月,"['5-7年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '交通补贴', '餐饮补贴', '通讯补贴', '专业培训', '出国机会', '绩效奖金', '年终奖金', '定期体检']"
Java开发工程师_长沙J10448,北京合融科技有限公司,长沙-雨花区,5-9千/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '专业培训', '通讯补贴', '餐饮补贴', '交通补贴', '年终奖金', '定期体检']"
JAVA程序员,北京思诺博信息技术股份有限公司,北京,4-8千/月,"['1年经验', '本科', '招若干人', '07-16发布', '五险一金', '绩效奖金', '年终奖金', '定期体检', '员工旅游', '专业培训']"
Java高级工程师,深圳市合伙人互联网金融服务有限公司,深圳-福田区,1-1.5万/月,"['3-4年经验', '本科', '招2人', '07-16发布', '五险一金', '员工旅游', '绩效奖金', '弹性工作', '定期体检', '专业培训', '年终奖金', '周末双休', '节日福利', '工作餐']"
Java开发工程师,卓志供应链集团,武汉-洪山区,0.5-1万/月,"['2年经验', '本科', '招2人', '07-16发布', '五险一金', '年终奖金', '节假日福利', '定期体检', '专业培训', '员工旅游', '带薪年假']"
Java应用开发软件工程师,浙江中安电子工程有限公司,杭州-上城区,1.2-1.5万/月,"['5-7年经验', '本科', '招1人', '07-16发布']"
智能家居-JAVA系统开发工程师,武汉零壹众创信息科技有限公司,武汉-洪山区,4.5-6千/月,"['无工作经验', '大专', '招6人', '07-16发布', '绩效奖金', '五险一金', '员工旅游', '定期体检', '弹性工作']"
